age,workclass,educationyears,maritalstatus,occupation,relationship,race,sex,hoursperweek,incomeUSD
26,5,14,5,11,2,5,1,40,26561
19,1,9,1,1,4,5,2,40,23386
51,5,13,5,5,1,5,2,50,183691
42,3,10,3,11,2,5,1,40,44292
37,8,9,8,2,5,5,1,35,49834
18,5,7,5,13,4,5,1,40,43073
36,5,13,5,9,1,3,2,36,95073
35,5,9,5,4,2,5,2,60,38220
58,6,9,6,13,6,5,1,35,52771
17,5,7,5,13,4,5,1,12,43364
44,3,9,3,15,1,3,2,40,20310
37,5,9,5,4,1,5,2,40,114304
35,5,10,5,13,2,1,1,40,38314
60,5,9,5,4,1,2,2,40,29159
54,6,4,6,8,1,5,2,40,110794
37,5,13,5,5,2,3,2,60,134809
50,5,12,5,13,2,5,1,40,44098
38,5,13,5,13,1,5,2,50,45432
45,5,13,5,11,1,5,2,55,22712
25,5,6,5,4,2,5,2,40,44397
31,5,10,5,7,1,5,2,40,38814
64,1,2,1,1,2,5,2,40,35099
90,5,9,5,9,2,3,2,40,36040
54,5,9,5,2,1,3,2,20,21508
53,3,1,3,8,2,5,1,35,45346
18,5,9,5,13,4,5,1,40,31226
60,1,6,1,1,2,1,1,10,45676
66,7,9,7,6,1,5,2,50,43798
75,5,11,5,2,2,5,1,20,47507
65,5,9,5,2,2,5,1,40,38622
35,5,7,5,15,2,3,2,40,48607
41,5,9,5,13,5,3,1,38,36081
25,5,10,5,2,2,5,2,42,35843
33,5,10,5,4,3,4,1,40,25168
28,5,15,5,11,2,5,2,55,121332
59,8,9,8,9,1,5,2,40,40482
40,8,10,8,2,2,5,1,38,21192
41,5,13,5,5,1,5,2,50,54028
38,3,14,3,5,1,5,2,70,80034
23,5,9,5,15,4,5,2,40,42661
40,5,13,5,11,1,5,2,40,74382
41,7,9,7,9,6,5,1,20,26824
24,8,12,8,12,1,5,2,50,35802
20,1,10,1,1,4,5,2,20,37199
38,5,10,5,4,2,5,2,40,31777
56,5,9,5,2,1,5,2,35,26827
58,5,9,5,2,1,5,2,45,97244
32,5,9,5,9,2,5,1,34,37031
40,5,12,5,14,1,5,2,60,76413
45,5,9,5,2,1,5,2,40,33671
41,5,15,5,11,6,5,1,40,113257
42,5,13,5,2,6,3,1,40,21888
59,3,6,3,9,5,3,1,30,23771
19,3,10,3,2,4,5,2,40,45294
58,5,10,5,15,2,5,2,20,31315
42,7,9,7,6,1,2,2,40,86214
20,5,9,5,9,4,5,1,40,47623
32,5,9,5,9,2,5,1,30,31807
45,5,11,5,5,2,5,1,45,37760
50,5,4,5,4,2,5,2,40,41406
36,5,13,5,11,4,5,1,40,40230
45,5,9,5,13,1,5,2,60,36729
17,5,7,5,9,4,5,2,12,21573
59,5,10,5,13,1,5,2,40,31064
26,5,7,5,4,1,5,2,40,30500
37,6,10,6,5,1,2,2,75,67284
19,1,10,1,1,4,5,2,24,44458
64,5,9,5,5,1,5,2,40,112600
33,5,13,5,11,2,5,1,45,30819
33,5,9,5,4,6,5,1,40,139359
61,5,9,5,5,1,5,2,40,67670
17,5,5,5,9,4,5,2,24,26208
50,7,14,7,6,1,5,2,98,29703
27,3,14,3,11,4,5,2,35,49236
30,5,9,5,11,4,5,1,40,28953
43,5,9,5,7,1,3,2,40,25483
44,5,10,5,4,1,5,2,40,153363
35,5,10,5,5,2,5,1,40,28261
25,5,10,5,14,4,5,1,40,40370
24,5,10,5,8,6,5,1,48,164302
22,5,13,5,11,2,5,1,15,48717
42,3,10,3,4,1,5,2,40,131213
34,5,12,5,13,5,3,1,45,41688
60,5,13,5,11,2,5,1,42,46440
21,5,9,5,7,4,5,2,40,36194
57,2,14,2,13,1,5,2,40,103645
41,5,15,5,11,1,5,2,60,86242
50,5,10,5,9,2,5,2,45,42742
25,5,13,5,5,2,5,1,40,41189
50,5,4,5,4,1,5,2,40,46147
36,5,13,5,11,1,5,2,45,48253
31,5,9,5,11,2,5,1,40,49402
29,3,13,3,12,2,5,2,56,25600
21,5,10,5,13,4,5,2,45,27815
27,5,13,5,14,5,3,1,40,34117
65,5,9,5,15,1,5,2,16,25055
37,6,13,6,13,2,5,1,60,33875
39,1,14,1,1,6,2,1,40,26319
24,5,9,5,4,4,5,2,40,26913
38,5,9,5,13,2,5,2,80,31391
48,5,13,5,2,1,5,2,40,148855
21,5,10,5,9,2,2,1,25,32565
31,5,9,5,15,1,5,2,45,142550
55,5,9,5,13,1,5,2,40,168472
24,5,10,5,2,6,2,1,40,45614
43,5,9,5,2,2,5,1,40,33146
26,5,12,5,14,2,5,2,45,35357
46,5,12,5,11,2,5,1,33,35322
35,5,12,5,2,1,5,2,40,76517
41,6,10,6,6,1,5,2,54,79054
26,5,13,5,13,2,5,2,40,22624
34,5,14,5,5,1,2,2,35,180647
19,1,10,1,1,4,3,1,25,38706
36,7,13,7,11,2,3,1,40,154840
22,5,10,5,13,4,5,2,15,27043
24,5,10,5,8,2,5,2,40,23301
77,7,10,7,13,1,5,2,40,41079
22,5,3,5,8,3,5,1,40,35135
29,5,10,5,14,2,5,1,40,22486
62,5,9,5,9,2,5,1,24,22068
39,7,9,7,5,1,5,2,40,49163
43,5,10,5,4,1,5,2,50,38517
35,5,9,5,15,2,5,2,45,26494
29,5,7,5,5,2,5,1,40,33132
76,7,14,7,4,1,5,2,10,22533
63,7,9,7,6,1,5,2,45,32990
23,1,11,1,1,4,3,1,15,37827
43,5,10,5,11,6,5,1,50,143733
58,7,9,7,7,1,5,2,40,44290
66,5,9,5,15,2,5,2,55,22053
41,5,10,5,4,2,3,2,45,35155
26,5,13,5,2,2,5,2,40,39197
47,5,11,5,9,2,5,2,40,39338
55,3,6,3,2,1,5,2,40,27601
53,5,9,5,15,1,5,2,40,46323
17,5,3,5,9,3,5,2,48,25661
30,5,9,5,4,3,5,2,40,31424
49,5,14,5,11,2,5,2,60,23137
19,5,9,5,13,5,3,2,30,45796
45,5,9,5,9,1,3,2,40,46310
26,5,12,5,13,2,5,2,40,22340
38,5,11,5,4,1,5,2,40,69514
36,8,9,8,12,1,5,2,40,107014
33,5,9,5,6,2,5,2,20,44458
22,8,10,8,12,4,3,1,40,45748
43,7,13,7,13,2,5,2,42,34679
67,1,7,1,1,1,5,2,8,30333
30,1,11,1,1,5,5,1,40,37758
56,5,12,5,9,2,5,2,25,23624
31,5,13,5,11,4,5,2,25,38344
33,5,13,5,5,1,5,2,40,158000
26,5,9,5,9,1,5,2,40,21785
33,5,13,5,5,1,5,2,40,167551
46,3,7,3,15,1,5,2,30,28130
59,1,13,1,1,1,5,2,40,181063
38,2,9,2,2,1,5,2,40,156095
65,5,7,5,9,5,4,2,40,21817
40,5,11,5,14,1,5,2,40,185607
42,5,9,5,2,6,5,1,35,28057
26,7,5,7,4,1,5,2,40,41190
36,5,6,5,9,6,5,1,24,29351
62,5,14,5,11,1,5,2,40,162379
43,5,13,5,15,1,5,2,45,44986
43,5,13,5,5,2,5,2,45,161917
22,5,9,5,13,2,5,2,55,42937
28,5,9,5,4,1,5,2,40,39805
56,7,10,7,13,1,5,2,45,23040
22,5,12,5,13,2,5,1,15,35322
57,5,13,5,5,2,5,1,45,95985
39,5,9,5,13,5,5,1,40,30111
26,2,10,2,2,5,5,1,15,47721
17,5,7,5,9,4,5,2,10,28861
40,8,11,8,8,1,5,2,38,111324
45,5,9,5,8,1,3,2,40,24116
44,5,9,5,4,2,3,2,40,42465
20,3,10,3,2,4,5,1,10,45238
33,5,9,5,4,6,5,1,40,20980
23,5,10,5,13,2,5,2,40,34788
46,7,14,7,5,2,5,2,30,27387
38,5,9,5,13,1,5,2,50,48239
54,5,9,5,15,2,5,2,40,25211
46,5,3,5,4,2,5,1,45,44865
25,5,10,5,4,1,5,2,40,22006
46,5,10,5,13,2,5,1,40,30657
36,3,10,3,15,6,5,1,40,20069
23,5,9,5,9,2,5,1,25,32750
29,5,9,5,8,2,5,2,40,39035
44,5,10,5,2,6,5,1,6,197380
19,5,10,5,2,4,5,1,16,21874
19,5,9,5,9,3,5,1,40,27014
35,5,9,5,9,6,5,1,40,68539
27,5,13,5,4,2,5,2,50,38254
46,7,12,7,4,2,5,2,40,42823
34,8,13,8,5,1,5,2,45,121828
34,5,9,5,9,2,5,1,35,37640
44,5,10,5,14,1,5,2,40,21556
45,5,10,5,7,5,5,1,40,46809
20,1,9,1,1,3,5,1,35,37835
25,5,13,5,5,1,5,2,55,145820
52,6,13,6,5,1,5,2,50,67926
20,5,10,5,7,4,5,2,40,37649
28,5,10,5,9,2,5,1,40,34053
50,8,13,8,12,1,5,2,40,135962
34,5,11,5,14,2,5,1,64,31484
28,5,4,5,7,1,4,2,40,32273
41,5,14,5,5,1,5,2,65,63084
28,5,9,5,2,1,5,2,40,21958
46,7,9,7,4,1,5,2,25,23977
28,1,10,1,1,6,5,1,40,169796
32,5,10,5,5,1,5,2,50,46890
41,3,10,3,9,2,3,1,24,38182
24,5,9,5,7,5,3,1,40,43552
33,5,10,5,5,5,5,1,40,27915
46,5,16,5,5,1,5,2,60,95465
31,8,10,8,8,1,5,2,40,46880
35,5,8,5,4,2,5,2,50,59238
52,5,2,5,8,1,5,2,40,31365
30,5,7,5,9,4,5,1,19,32538
34,3,7,3,8,2,3,2,40,48702
34,8,9,8,15,5,5,1,40,25848
20,5,10,5,13,1,5,2,30,33109
17,5,7,5,7,4,5,2,18,41300
32,8,13,8,5,6,5,1,40,158616
29,5,9,5,6,2,5,2,40,31540
33,5,6,5,4,5,5,1,35,43438
25,5,9,5,15,1,5,2,60,22623
36,2,14,2,11,2,5,2,40,20714
23,5,9,5,7,2,5,2,72,48017
63,6,9,6,5,1,5,2,40,146285
47,3,14,3,11,1,5,2,40,49220
80,1,9,1,1,2,5,2,24,28736
17,1,7,1,1,4,5,2,40,38513
40,7,13,7,11,2,5,1,40,28328
30,5,12,5,9,6,5,1,25,117993
27,5,10,5,4,4,2,2,40,40160
33,5,14,5,11,1,5,2,50,140821
34,3,9,3,6,2,3,2,60,26762
34,3,10,3,12,2,5,1,40,39805
23,5,10,5,2,1,5,2,40,32285
42,3,10,3,2,6,5,1,40,28902
29,5,13,5,11,2,5,2,40,41970
45,5,9,5,2,2,5,1,28,22095
24,2,9,2,3,4,5,2,40,40622
44,5,10,5,11,1,5,2,40,140898
27,5,5,5,4,3,5,2,40,46636
20,5,10,5,13,2,5,2,35,48575
44,5,9,5,5,5,3,1,40,40879
51,5,9,5,4,1,1,2,40,37576
20,5,9,5,8,1,5,2,40,25899
17,1,7,1,1,4,5,1,5,45631
19,5,9,5,8,4,3,1,40,42481
45,6,10,6,4,1,5,2,55,189616
60,5,9,5,4,1,5,2,40,175180
42,5,12,5,5,1,3,2,40,186051
44,7,9,7,13,6,5,1,40,112339
40,5,11,5,8,1,2,2,40,151664
30,5,9,5,5,6,5,1,40,43198
38,5,10,5,15,1,3,2,50,31167
23,5,9,5,15,1,5,2,60,44734
32,1,10,1,1,1,5,2,40,42091
44,5,12,5,6,4,5,2,40,44938
54,3,9,3,15,1,3,2,40,49588
32,5,13,5,11,1,5,2,50,22791
50,5,2,5,4,5,5,2,40,33624
24,5,13,5,14,2,5,1,20,38787
37,5,9,5,2,6,5,1,60,48866
52,5,9,5,15,5,5,2,40,36042
38,5,10,5,15,1,5,2,40,32722
49,5,14,5,5,1,5,2,45,70980
30,5,13,5,14,6,5,1,16,71873
60,5,10,5,11,5,5,2,40,112904
22,1,10,1,1,4,5,2,40,32159
35,5,9,5,4,2,5,2,40,33612
30,5,9,5,15,2,5,2,60,28304
67,5,11,5,9,2,5,1,24,27994
46,5,13,5,4,2,5,1,40,40824
17,5,5,5,9,2,5,2,6,25872
22,5,10,5,7,4,5,2,30,47557
27,5,6,5,9,2,5,2,40,34967
23,5,9,5,9,5,5,1,35,44495
33,5,12,5,4,1,5,2,45,27614
43,7,10,7,4,1,5,2,20,20365
28,8,13,8,11,2,5,2,20,21517
41,5,9,5,4,5,5,1,40,48106
52,1,8,1,1,3,3,2,40,27455
25,5,10,5,2,4,3,1,20,35428
63,1,2,1,1,1,5,2,35,48867
59,3,9,3,15,1,5,2,45,44014
45,3,13,3,11,5,5,1,40,21781
38,5,13,5,13,1,5,2,60,98220
40,5,9,5,9,2,5,1,35,32323
46,2,9,2,2,2,5,2,40,46246
35,5,12,5,5,2,5,1,60,45494
34,5,9,5,11,5,5,1,25,37792
33,5,13,5,4,4,5,2,20,41052
41,5,9,5,2,5,5,1,36,26293
20,5,10,5,8,4,5,2,40,48108
23,5,3,5,9,4,5,2,40,36949
26,5,10,5,11,2,5,1,35,37041
72,1,9,1,1,1,5,2,20,41157
23,3,9,3,6,2,5,2,40,45480
62,3,9,3,15,1,5,2,40,39997
52,5,10,5,2,1,5,2,40,24606
58,5,10,5,9,5,5,1,42,41230
25,5,13,5,13,2,5,1,40,27625
24,5,13,5,5,2,3,2,40,25005
19,5,10,5,12,4,5,2,8,35587
43,5,10,5,5,1,5,2,40,44935
47,3,9,3,2,5,3,1,40,33863
39,5,9,5,9,5,5,1,40,21835
49,5,11,5,7,5,5,2,42,22945
53,1,3,1,1,5,3,1,30,39043
32,5,11,5,4,2,5,2,45,46157
34,5,10,5,11,1,5,2,50,111270
28,5,9,5,4,2,5,2,45,34343
57,1,11,1,1,5,5,1,38,43958
25,5,10,5,2,2,1,1,20,37264
20,1,10,1,1,4,5,2,24,28910
21,1,10,1,1,5,5,1,35,35229
34,5,13,5,11,1,5,2,50,78666
38,6,13,6,5,1,5,2,80,87355
50,5,9,5,5,1,5,2,50,100874
24,3,10,3,7,2,3,2,50,43249
37,3,10,3,14,1,5,2,45,121266
44,5,10,5,8,5,5,2,58,187138
28,5,10,5,13,6,5,1,40,40001
42,5,13,5,5,1,5,2,40,75102
74,5,10,5,2,2,5,1,9,27297
38,7,9,7,4,1,5,2,50,28053
44,7,14,7,11,1,5,2,40,32207
44,5,7,5,8,5,4,1,46,24755
26,5,9,5,8,2,5,2,40,35493
36,5,9,5,9,1,3,2,40,32623
41,5,12,5,5,6,5,1,50,195333
67,5,15,5,11,1,5,2,48,145392
39,3,8,3,14,1,5,2,50,49321
57,5,2,5,10,2,3,1,30,31601
29,5,11,5,4,2,5,2,40,47459
31,6,13,6,6,2,5,1,45,31546
34,1,9,1,1,5,3,1,40,29005
44,5,10,5,15,1,5,2,40,46962
29,5,16,5,11,4,5,2,40,20148
30,5,10,5,7,5,5,1,40,22873
27,5,9,5,15,2,5,2,40,22369
27,5,10,5,13,1,5,2,50,41536
32,5,9,5,7,2,5,1,45,44709
58,5,6,5,9,6,5,1,8,37052
35,3,10,3,12,1,5,2,40,25358
21,5,9,5,7,4,5,2,36,38807
28,5,10,5,4,5,5,2,40,20724
46,7,10,7,5,2,5,2,50,41135
36,7,9,7,9,5,5,1,40,48735
72,5,7,5,2,5,5,1,40,32672
35,5,9,5,8,6,3,1,40,37443
33,2,11,2,4,5,3,1,40,85273
69,5,7,5,8,2,5,1,40,30432
35,5,9,5,8,1,5,2,40,38841
31,5,9,5,2,5,5,1,20,45941
34,5,9,5,14,6,5,1,32,43209
30,5,7,5,9,1,5,2,40,25490
28,5,13,5,15,2,5,2,55,43525
54,5,13,5,13,1,5,2,35,193435
47,5,10,5,11,1,5,2,50,158318
24,5,9,5,7,5,3,1,40,31125
52,7,13,7,11,1,5,2,60,108265
20,5,9,5,7,4,1,2,48,39088
43,6,14,6,5,1,5,2,45,45777
45,5,4,5,9,5,5,1,40,35084
29,7,9,7,4,2,5,2,35,41521
47,5,14,5,5,5,5,2,42,49185
24,5,9,5,4,4,5,2,40,33265
51,5,9,5,11,1,5,2,40,30108
17,5,7,5,13,4,5,2,12,36666
37,5,11,5,4,1,5,2,40,54690
27,5,16,5,11,2,5,1,70,32421
29,5,13,5,5,6,5,2,40,174423
18,1,8,1,1,4,5,2,25,48222
36,7,12,7,13,5,5,1,35,27940
58,3,13,3,11,2,5,1,40,45690
26,7,10,7,4,1,5,2,45,47076
65,1,10,1,1,1,5,2,30,180402
57,5,9,5,13,1,5,2,40,124862
59,5,9,5,4,1,5,2,40,44323
27,5,9,5,8,1,5,2,40,40284
31,7,13,7,14,2,5,2,40,35980
21,5,10,5,13,4,5,1,24,30280
29,5,10,5,2,2,5,2,60,46780
18,5,7,5,9,4,5,2,40,39917
52,5,6,5,4,1,5,2,47,131743
57,6,13,6,11,2,5,2,80,38519
42,1,9,1,1,1,5,2,40,22436
55,1,9,1,1,6,2,1,40,47918
60,5,4,5,15,2,5,2,48,67581
31,5,13,5,11,1,5,2,40,137706
23,5,13,5,2,4,5,1,40,20731
27,5,9,5,13,4,5,2,40,30775
23,1,10,1,1,5,1,1,25,24838
42,7,15,7,11,1,5,2,50,106724
25,5,10,5,14,2,5,2,40,37137
49,5,13,5,11,2,5,1,45,47533
32,5,13,5,14,2,5,2,40,35344
19,5,10,5,2,4,5,2,28,30892
60,5,4,5,9,2,5,1,40,40429
42,3,5,3,9,1,5,2,40,30346
35,7,12,7,6,2,5,2,40,27303
48,5,9,5,2,5,3,1,37,43064
51,5,14,5,4,1,5,2,40,52909
29,5,9,5,4,2,1,2,40,35158
36,3,9,3,5,2,3,2,40,21210
17,5,6,5,9,4,5,1,21,40979
52,5,14,5,11,2,5,1,60,35982
24,5,9,5,4,2,5,2,40,40954
24,5,9,5,7,1,5,2,50,42173
26,3,13,3,11,4,5,2,40,36867
27,5,13,5,9,4,5,1,20,34679
39,5,9,5,7,4,5,2,60,27478
30,5,9,5,15,1,3,2,45,36237
50,7,9,7,5,1,5,2,32,31840
52,6,13,6,13,1,5,2,55,43184
46,5,15,5,11,1,5,2,45,100923
23,5,13,5,13,4,5,1,20,33453
45,5,7,5,9,2,3,1,20,47189
65,5,5,5,10,5,3,1,24,43550
29,5,11,5,15,1,5,2,55,37716
47,5,5,5,7,5,5,2,40,29718
30,5,9,5,6,4,3,2,60,40722
34,5,9,5,13,1,5,2,45,140984
38,7,9,7,13,1,5,2,64,32644
33,5,10,5,5,1,5,2,40,77427
49,5,13,5,13,1,5,2,26,130640
47,7,10,7,9,5,3,1,40,30977
49,3,6,3,9,5,3,1,40,29196
43,5,10,5,4,1,5,2,60,147855
30,5,13,5,2,6,3,1,40,66883
58,7,9,7,4,1,5,2,60,44055
19,5,9,5,9,4,5,1,14,37636
21,5,13,5,7,2,5,2,40,20988
33,5,13,5,5,1,5,2,60,163564
47,6,3,6,15,1,5,2,50,38773
52,7,16,7,11,1,5,2,60,138017
26,5,9,5,4,2,5,2,55,44702
60,5,9,5,4,1,5,2,40,49808
21,5,10,5,7,4,5,2,40,22706
36,5,10,5,13,1,5,2,50,143551
31,5,10,5,4,1,5,2,45,30372
50,6,16,6,11,2,5,2,40,158209
31,3,9,3,2,5,5,1,40,40218
71,5,9,5,4,1,5,2,15,41192
58,1,9,1,1,1,5,2,50,37255
30,8,13,8,14,1,5,2,40,161103
20,5,10,5,9,4,5,2,20,46186
24,5,9,5,5,3,5,2,50,43833
35,5,16,5,11,1,2,2,40,113575
38,8,10,8,5,2,5,1,45,24726
27,5,9,5,8,4,5,1,32,25798
29,8,10,8,2,5,2,1,40,37986
70,1,5,1,1,5,5,1,15,32467
34,5,9,5,4,1,5,2,45,27628
44,5,4,5,4,1,5,2,35,42637
43,5,9,5,8,1,5,2,40,186336
44,7,8,7,7,1,3,2,40,189057
35,5,14,5,13,2,5,2,60,24077
